p_out,Metric,bayesian,bayesian_fixed_K,spectral,leiden,louvain
0.0,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,1.0
0.0,adjusted_rand_score,1.0,0.08296767526956944,1.0,1.0,1.0
0.0,v_measure_score,1.0,0.8893362204406595,1.0,1.0,1.0
0.0,homogeneity_score,1.0,0.9999999999999998,1.0,1.0,1.0
0.0,fowlkes_mallows_score,1.0,1.0,1.0,1.0,1.0
0.008289306334778564,adjusted_mutual_info_score,0.7438569799823699,0.6467065746473233,0.9813762438002244,0.9937902556291457,0.9875832497146845
0.008289306334778564,adjusted_rand_score,0.8486854989115538,0.9851304892726882,0.9910090090450812,0.996996990984967,0.9790428854524819
0.008289306334778564,v_measure_score,0.9938015906454756,0.4376754393900314,0.9814102388518787,0.9938015906454756,0.9938015906454756
0.008289306334778564,homogeneity_score,0.9959210316845758,0.9938015906454756,0.9814102388518787,0.9938015906454756,0.8389707751373874
0.008289306334778564,fowlkes_mallows_score,0.3327751665951101,0.997995991983968,0.9940000120360841,0.997995991983968,0.9979960040621718
0.016578612669557128,adjusted_mutual_info_score,0.7323046033771256,0.7177066366532445,0.6850725433820409,0.3092794070906287,0.14962853238941254
0.016578612669557128,adjusted_rand_score,0.8004133499413435,0.8107206371161332,0.760988603632073,0.2022958812337415,0.25921837399570624
0.016578612669557128,v_measure_score,0.5642075137835803,0.6661320544311665,0.6856476450609997,0.31257121028284107,0.3358026879813134
0.016578612669557128,homogeneity_score,0.7488468244383893,0.7317141007515433,0.6853584591689122,0.3667381608635938,0.2027385087258671
0.016578612669557128,fowlkes_mallows_score,0.8731681503197666,0.6968377576504032,0.840573709450068,0.4276539704001686,0.4471247380192307
0.024867919004335694,adjusted_mutual_info_score,0.0,0.0,0.11638549719218308,0.015873252772511698,0.021683764398975056
0.024867919004335694,adjusted_rand_score,0.0,0.0,0.12508552971508408,0.004980252238961079,0.01186109551197571
0.024867919004335694,v_measure_score,0.0,0.0,0.11800324219916647,0.03190180326266587,0.025642595617770807
0.024867919004335694,homogeneity_score,0.0,0.0,0.11765545739340513,0.035642526381568486,0.030937979210886014
0.024867919004335694,fowlkes_mallows_score,0.5767726299562651,0.5767726299562651,0.4180469405524529,0.2411730152929824,0.20413673726983622
0.033157225339114256,adjusted_mutual_info_score,0.0,0.0,0.001811675992922802,0.0018621141522140753,0.0037393965885515247
0.033157225339114256,adjusted_rand_score,0.0,0.0,0.0018426692907550096,0.0027259068822378585,0.0024122278045690965
0.033157225339114256,v_measure_score,0.0,0.0,0.0036353001986647693,0.007976876863905594,0.013948679456304762
0.033157225339114256,homogeneity_score,0.0,0.0,0.0036322099333000743,0.009384884936425196,0.00985762946418489
0.033157225339114256,fowlkes_mallows_score,0.5767726299562651,0.5767726299562651,0.33450926085174393,0.2010910632513446,0.19017121962114197
0.04144653167389282,adjusted_mutual_info_score,0.0,0.0,-0.0016846966961279047,-0.001065302913044496,-0.0007320130512690192
0.04144653167389282,adjusted_rand_score,0.0,0.0,-0.0018318099040244397,0.0017348818251791726,-0.0002520380688597922
0.04144653167389282,v_measure_score,0.0,0.0,0.00014653755485668623,0.0033522410255002306,0.004895653277535032
0.04144653167389282,homogeneity_score,0.0,0.0,0.00014631639973973745,0.006068619261877391,0.013712623619181465
0.04144653167389282,fowlkes_mallows_score,0.5767726299562651,0.5767726299562651,0.3325705143006996,0.17682880396635067,0.21254241112563999
0.04973583800867139,adjusted_mutual_info_score,0.0,0.0,-0.0008385112098848811,0.002333705269921964,-0.003270651546741803
0.04973583800867139,adjusted_rand_score,0.0,0.0,-0.0009534955926663565,-0.0010673866208869502,-0.002037250806944736
0.04973583800867139,v_measure_score,0.0,0.0,0.0009919978710524124,0.004844997569850117,0.003355500877237017
0.04973583800867139,homogeneity_score,0.0,0.0,0.0009900637460631353,0.007766977430294207,0.005855473500017577
0.04973583800867139,fowlkes_mallows_score,0.5767726299562651,0.5767726299562651,0.3334301542907634,0.1979607627050949,0.2179026445535655
0.05802514434344995,adjusted_mutual_info_score,0.0,0.0,-0.0002690776312842539,-0.0036530076938838495,-0.0032946599414127495
0.05802514434344995,adjusted_rand_score,0.0,0.0,-0.0002537015148391403,-0.0014106083168096421,-0.0012915030514113353
0.05802514434344995,v_measure_score,0.0,0.0,0.001557092779308942,0.0034790955803200257,0.002800501632486686
0.05802514434344995,homogeneity_score,0.0,0.0,0.0015568238386796285,0.0036980975823120658,0.002427244543176014
0.05802514434344995,fowlkes_mallows_score,0.5767726299562651,0.5767726299562651,0.332623497388871,0.18313832467424127,0.20114019009039377
0.06631445067822851,adjusted_mutual_info_score,0.0,0.0,-0.00047083393258815555,-0.0034524169623368368,-0.004239197184107863
0.06631445067822851,adjusted_rand_score,0.0,0.0,-0.0005291826144264402,-0.0011089127197791658,-0.0022360158817783067
0.06631445067822851,v_measure_score,0.0,0.0,0.0013626229375252306,0.003359789222952487,0.0026076839112488654
0.06631445067822851,homogeneity_score,0.0,0.0,0.0013573119537312697,0.003666314359586438,0.0030427205694714705
0.06631445067822851,fowlkes_mallows_score,0.5767726299562651,0.5767726299562651,0.33522921034603975,0.18955141511523335,0.17863802338488177
0.07460375701300707,adjusted_mutual_info_score,0.0,0.0,-0.0008980248936976175,-0.003911759901532302,-0.002225312245933289
0.07460375701300707,adjusted_rand_score,0.0,0.0,-0.0009848114601148292,-0.002735050392032381,-0.00263252805835748
0.07460375701300707,v_measure_score,0.0,0.0,0.0009290271345987853,0.0018946373820451891,0.0021195815231451667
