K,Metric,bayesian,spectral,leiden,louvain,walktrap
3,adjusted_mutual_info_score,0.40007738766947515,0.46271818225402184,0.42054064632235144,0.3807742223469039,0.40650474838726797
3,adjusted_rand_score,0.421563126237947,0.48025413204846457,0.4336628831470799,0.415843579364308,0.4199959229750774
3,v_measure_score,0.3828046937590991,0.4636998925587553,0.4275248411871197,0.41768370206810684,0.40762573845485944
3,homogeneity_score,0.41400910934240415,0.4636680601668634,0.42857231927753675,0.4029997567295226,0.4071356687251885
3,fowlkes_mallows_score,0.7511205671704964,0.6535377467909411,0.5377789439977237,0.5056824607177859,0.6260457608927695
4,adjusted_mutual_info_score,0.4180331731765318,0.42140186727816636,0.4209749022722329,0.3840877049473779,0.3852442694091722
4,adjusted_rand_score,0.422947937930312,0.4304959989639612,0.42449210027455175,0.37464520878011004,0.3886241589241454
4,v_measure_score,0.34398225077482164,0.42329100058190045,0.4287028795966573,0.3708532506299899,0.3872767056113216
4,homogeneity_score,0.41493265764427506,0.42319315195305623,0.43108015311000375,0.4222546288414356,0.38642993626186956
4,fowlkes_mallows_score,0.7031212165134355,0.5730711083440124,0.501030769779181,0.5170414305801039,0.5466391922702113
5,adjusted_mutual_info_score,0.3261154309388616,0.4273066381624769,0.3723566834478285,0.36956824180484654,0.3758563512510574
5,adjusted_rand_score,0.35755316171446366,0.4346336232693435,0.373520813870561,0.36600540554320743,0.37670272592194837
5,v_measure_score,0.3385992275490813,0.4301758746348735,0.38168931220534985,0.3770433827204407,0.3790479061933278
5,homogeneity_score,0.35514454549140767,0.4301064115794123,0.38539533829584355,0.3826564304922172,0.3783608224072832
5,fowlkes_mallows_score,0.6315084420293652,0.5478832691442367,0.47297506733185224,0.4644015529405225,0.5092907029235287
6,adjusted_mutual_info_score,0.3520640766716812,0.3958998294021669,0.3785019344353521,0.3797286349201662,0.3590626803478335
6,adjusted_rand_score,0.32370138163881823,0.39610311529411324,0.3772829062917368,0.3751142280227348,0.3540312031267439
6,v_measure_score,0.35079589187244253,0.4001548427517048,0.374270487185254,0.3834018805162297,0.36368448666277275
6,homogeneity_score,0.33958936415506474,0.4000843672759921,0.38009850452797334,0.38563516698209654,0.3625575748249569
6,fowlkes_mallows_score,0.5902621400094195,0.4966616679126076,0.46434744834997865,0.4674545751435566,0.46965387356118765
