c_min,Metric,bayesian,spectral,leiden,louvain,walktrap
20,adjusted_mutual_info_score,0.7128175444465624,0.8960201749726278,0.9103447843687709,0.8715627442469774,0.6960393711199667
20,adjusted_rand_score,0.5890857623979512,0.9063944120339761,0.9531045697239353,0.8487153294676991,0.7063267876203879
20,v_measure_score,0.7818125172742695,0.896540838051278,0.9253313359682822,0.8392544124121128,0.6978951864281534
20,homogeneity_score,0.7936986719289836,0.896357365608413,0.9381979352548513,0.8614898597686562,0.6912165830778189
20,fowlkes_mallows_score,0.8841224398070524,0.9251187228124135,0.9453473671518904,0.9593171122622886,0.7848640707712162
40,adjusted_mutual_info_score,0.7843661659876353,0.8960201749726278,0.920573853609209,0.851252142854254,0.6960393711199667
40,adjusted_rand_score,0.7766332930697324,0.9063944120339761,0.9556951750410819,0.8825550304169718,0.7063267876203879
40,v_measure_score,0.7583931674913303,0.896540838051278,0.9177359066874086,0.9355368789699978,0.6978951864281534
40,homogeneity_score,0.7901007413703006,0.896357365608413,0.9413021059004029,0.8469601925234823,0.6912165830778189
40,fowlkes_mallows_score,0.8208036957496627,0.9251187228124135,0.9578585314374269,0.9656946252332868,0.7848640707712162
60,adjusted_mutual_info_score,0.5938947031000394,0.8960201749726278,0.9012441717502228,0.8589288890138015,0.6960393711199667
60,adjusted_rand_score,0.6514672102285272,0.9063944120339761,0.9454798328474732,0.9384021718992008,0.7063267876203879
60,v_measure_score,0.7865093783706187,0.896540838051278,0.9452750486982329,0.8930336338576188,0.6978951864281534
60,homogeneity_score,0.7972739341606001,0.896357365608413,0.9125992574649991,0.8929825797782458,0.6912165830778189
60,fowlkes_mallows_score,0.8888624719862805,0.9251187228124135,0.9706316299269708,0.9083237840150844,0.7848640707712162
80,adjusted_mutual_info_score,0.7962869066342619,0.8960201749726278,0.9406188843616705,0.8652725446103344,0.6960393711199667
80,adjusted_rand_score,0.7440593203272567,0.9063944120339761,0.9524804536874386,0.9570341183976752,0.7063267876203879
80,v_measure_score,0.7815965038946189,0.896540838051278,0.9368541139183624,0.8799374023603246,0.6978951864281534
80,homogeneity_score,0.7920545361641647,0.896357365608413,0.9219601209504656,0.8868533141141125,0.6912165830778189
80,fowlkes_mallows_score,0.8030095625608599,0.9251187228124135,0.9538088564852096,0.9037814347158044,0.7848640707712162
100,adjusted_mutual_info_score,0.7337705999824226,0.8960201749726278,0.9470827037176814,0.9480899005553219,0.6960393711199667
100,adjusted_rand_score,0.7789191688933428,0.9063944120339761,0.9007518048481181,0.861902452336414,0.7063267876203879
100,v_measure_score,0.7931697746270182,0.896540838051278,0.912486196013975,0.911109314740225,0.6978951864281534
100,homogeneity_score,0.7551095764166255,0.896357365608413,0.9483237268532072,0.887323849273776,0.6912165830778189
100,fowlkes_mallows_score,0.8532868674842412,0.9251187228124135,0.9728951752407833,0.9341805884465764,0.7848640707712162
120,adjusted_mutual_info_score,0.7368134801590346,0.8960201749726278,0.9299733231513827,0.8959755274413519,0.6960393711199667
120,adjusted_rand_score,0.7392711703451502,0.9063944120339761,0.9236585195875939,0.9196981701579482,0.7063267876203879
120,v_measure_score,0.7222288956142657,0.896540838051278,0.944934115019483,0.8946745476792144,0.6978951864281534
120,homogeneity_score,0.79083804266,0.896357365608413,0.892568142811391,0.8717024029647451,0.6912165830778189
120,fowlkes_mallows_score,0.8540630153917894,0.9251187228124135,0.9556575673320825,0.9460009174077225,0.7848640707712162
140,adjusted_mutual_info_score,0.7956957337737942,0.8960201749726278,0.9348490393468707,0.8789759764170212,0.6960393711199667
140,adjusted_rand_score,0.7960456994607906,0.9063944120339761,0.9490381476929801,0.8955037503237238,0.7063267876203879
140,v_measure_score,0.7604611399207752,0.896540838051278,0.9425996422630398,0.8912935248941316,0.6978951864281534
140,homogeneity_score,0.7972135518984192,0.896357365608413,0.9522026132874967,0.8859699900336281,0.6912165830778189
140,fowlkes_mallows_score,0.7471830342937402,0.9251187228124135,0.9588837050962791,0.9625646538526418,0.7848640707712162
160,adjusted_mutual_info_score,0.7904225285610705,0.8960201749726278,0.9354075333084217,0.9268827889545375,0.6960393711199667
160,adjusted_rand_score,0.7026273428001445,0.9063944120339761,0.9647084618529842,0.8948232021623317,0.7063267876203879
160,v_measure_score,0.7296051120644281,0.896540838051278,0.8582071101687292,0.8748789071322447,0.6978951864281534
160,homogeneity_score,0.7896133848484561,0.896357365608413,0.9074861889713773,0.8904694611950754,0.6912165830778189
160,fowlkes_mallows_score,0.8678978177959561,0.9251187228124135,0.9557560765966775,0.9210571777493118,0.7848640707712162
180,adjusted_mutual_info_score,0.7920839933396928,0.8960201749726278,0.9336488083454348,0.8654142417403594,0.6960393711199667
180,adjusted_rand_score,0.7373581747611714,0.9063944120339761,0.9266781894466345,0.9134782593238354,0.7063267876203879
180,v_measure_score,0.7953837592746533,0.896540838051278,0.9439038620613495,0.8609238268633984,0.6978951864281534
180,homogeneity_score,0.7935337872600219,0.896357365608413,0.9133751368364624,0.9176709357629129,0.6912165830778189
180,fowlkes_mallows_score,0.8668391674896749,0.9251187228124135,0.9676315640060802,0.8759764054243192,0.7848640707712162
200,adjusted_mutual_info_score,0.7947103347355128,0.8960201749726278,0.9458443903532194,0.9271266577344033,0.6960393711199667
200,adjusted_rand_score,0.7494661003354552,0.9063944120339761,0.9204721727823177,0.9368377355420948,0.7063267876203879
200,v_measure_score,0.7107819613223885,0.896540838051278,0.8695087966435407,0.9037131236208072,0.6978951864281534
200,homogeneity_score,0.7964283893902522,0.896357365608413,0.9378483317049431,0.9348076681726131,0.6912165830778189
200,fowlkes_mallows_score,0.8734066516485042,0.9251187228124135,0.9236405144624149,0.9003425373008437,0.7848640707712162
