d_max,Metric,bayesian,spectral,leiden,louvain,walktrap
20,adjusted_mutual_info_score,0.7950054643570648,0.9257577099063635,0.8375430603511103,0.6675159775602147,0.6968695114980383
20,adjusted_rand_score,0.794657750556689,0.919094712790604,0.8291501873511787,0.644972159252088,0.6792930708888737
20,v_measure_score,0.7968673591439142,0.9266674804878449,0.8423714587471732,0.6869689472554983,0.7022275901436482
20,homogeneity_score,0.7904671900659175,0.9266043069227244,0.8315675100092585,0.6764338625177209,0.6977744435346303
20,fowlkes_mallows_score,0.8217620371787315,0.9244765888426555,0.8250613826206175,0.6645497578052986,0.7311583643427693
51,adjusted_mutual_info_score,0.872140935084919,0.9609659319120387,0.9647847596002752,0.9297925736217041,0.699267665932065
51,adjusted_rand_score,0.8293330060675819,0.9609270667880796,0.9439729414167738,0.910110476287703,0.6754085226192187
51,v_measure_score,0.9628165921611757,0.9614440769191133,0.9472507973162957,0.9342948959725049,0.7045602361218227
51,homogeneity_score,0.9735009038672242,0.9614208935198512,0.9393447155089358,0.9106048233169899,0.6977589966757493
51,fowlkes_mallows_score,0.8908502720143312,0.9635215939104412,0.940177690926072,0.8746372259866583,0.7267811746522794
82,adjusted_mutual_info_score,0.9789306134086887,0.9687288626749678,0.9605601761126413,0.934800168649782,0.7247995348096742
82,adjusted_rand_score,0.8554967719655477,0.9691969059247565,0.9762735592818697,0.9346705961612674,0.7020935832724751
82,v_measure_score,0.940369200234791,0.9691118912559873,0.9899200222380011,0.9675033846872318,0.7293150760044302
82,homogeneity_score,0.9825793400759683,0.9690969551540423,0.98089654588954,0.9544429604395083,0.7213293118659863
82,fowlkes_mallows_score,0.959481232362984,0.9712416681033215,0.9780758285806082,0.910205395817305,0.7455208395780135
113,adjusted_mutual_info_score,0.9863482905915667,0.9717792810264634,0.9796550184652831,0.9475729110073694,0.702277395391774
113,adjusted_rand_score,0.9862536748244759,0.9719213124904614,0.9700701213906958,0.944433734007972,0.6813899480374608
113,v_measure_score,0.9825609736949394,0.9721249452882146,0.9808644245844563,0.9371767558610724,0.7077878973614214
113,homogeneity_score,0.9667075608170475,0.9721118371683206,0.9868087946481369,0.9652648929563015,0.7030332404092678
113,fowlkes_mallows_score,0.9850814443763415,0.9737852098943229,0.9755399831870953,0.91792254273221,0.7353063520474308
144,adjusted_mutual_info_score,0.924909444105691,0.9730289473782523,0.978230922717041,0.9708881786841583,0.7255938378948239
144,adjusted_rand_score,0.9829269968684994,0.9737361201520842,0.9869367355069564,0.9408488180078287,0.7035045412176442
144,v_measure_score,0.9822014401234783,0.9733593095911914,0.9841774235502603,0.9697628369254708,0.7303734214695303
144,homogeneity_score,0.9848555573669342,0.9733435048849077,0.9859601182152554,0.9678355972147259,0.7222056469753274
144,fowlkes_mallows_score,0.9800709249039224,0.9754796711529071,0.9782747595756908,0.9195593495012956,0.7513182017720728
175,adjusted_mutual_info_score,0.9878227293683286,0.978774438416768,0.9920854799602237,0.9747888530793141,0.7346298244929935
175,adjusted_rand_score,0.9846355705513619,0.9794550575219748,0.9916418915615741,0.9610430259430529,0.7079074375617571
175,v_measure_score,0.979951489284062,0.9790344201962871,0.9927934113530353,0.9789951231148322,0.7388320423868209
175,homogeneity_score,0.9866244790377035,0.9790215030768573,0.991026846984953,0.9673540207207376,0.7289265254665156
175,fowlkes_mallows_score,0.9414122065345086,0.980818818283441,0.9844838721544764,0.9800038646844801,0.7527063329985866
206,adjusted_mutual_info_score,0.9868079280554983,0.9781584443055126,0.9783626406749637,0.9625682709273411,0.7141377779032432
206,adjusted_rand_score,0.987821350885692,0.9782836624243462,0.9767179805463618,0.9601618758096586,0.6954137513194133
206,v_measure_score,0.9574963244530215,0.9784259620426411,0.9821811752023779,0.9628664999412673,0.7191464722838057
206,homogeneity_score,0.9669230102590696,0.978418936347134,0.9764144743794827,0.9657119666104835,0.7126420022507978
206,fowlkes_mallows_score,0.9583049358594666,0.9797249482201437,0.9950890441714917,0.9625257180952881,0.7467330337845248
237,adjusted_mutual_info_score,0.987887479548309,0.9766909993159739,0.992993511417775,0.9694389841378376,0.7370752562682469
237,adjusted_rand_score,0.7859564120770758,0.9771556228680994,0.9900918292009617,0.9863951129256092,0.7067953692444812
237,v_measure_score,0.9775506935900881,0.9769764974897512,0.9924093624924651,0.9746955457513575,0.7412480536327297
237,homogeneity_score,0.989897958917829,0.9769647620965894,0.9898226046673267,0.9730552343193688,0.7308358849345391
237,fowlkes_mallows_score,0.961474115980675,0.9786719517907375,0.9802638426310321,0.9745844139713284,0.7514522397447373
268,adjusted_mutual_info_score,0.9708203960835042,0.9798974247714712,0.9800339301532972,0.9452858006794571,0.736199981119778
268,adjusted_rand_score,0.9591545742473159,0.9805534474870722,0.969552755585978,0.9065176684498276,0.7048262127693438
268,v_measure_score,0.9307083986725914,0.9801436539019802,0.9786008560267673,0.9387652128646398,0.7403480498317391
268,homogeneity_score,0.9895636724347392,0.9801297141935563,0.9642527440496803,0.9569351200352493,0.7300579260620133
268,fowlkes_mallows_score,0.9766993219129889,0.9818443558038341,0.9638324348702417,0.9632102671306251,0.7512401920113183
300,adjusted_mutual_info_score,0.9750405345973862,0.979195725364057,0.9899629158273642,0.9713007903494277,0.7117432040204081
300,adjusted_rand_score,0.9360096552764616,0.9799498308446019,0.9665380647517541,0.9527132147542906,0.6904702633327904
300,v_measure_score,0.9755436075460826,0.9794505580964479,0.977063769013156,0.9720385948391028,0.7168558826936413
300,homogeneity_score,0.9899569516841904,0.9794310544230029,0.9913142373786592,0.9597330411150559,0.7082597639433464
