c_min,Metric,bayesian,bayesian_fixed_K,spectral,leiden,louvain
20,adjusted_mutual_info_score,0.8782722840237065,0.9667162142925025,0.9814784089439824,0.9956909776761579,0.9911459147761533
20,adjusted_rand_score,0.9715180402037547,0.958940868936109,0.986632826444154,0.9970044698866731,0.9925456686140028
20,v_measure_score,0.8667820897155032,0.8756124321352108,0.981571043614014,0.9992173263802657,0.9984349601166269
20,homogeneity_score,0.9759322936044164,0.9826153313016033,0.981551881088067,0.9948618111504235,0.9894616182510895
20,fowlkes_mallows_score,0.9135174648370776,0.9618551262333076,0.9892962579235766,0.9984020905976949,0.9840297433952768
28,adjusted_mutual_info_score,0.9250500545001579,0.9124631810192616,0.9814784089439824,0.9978139260825738,0.9956909776761579
28,adjusted_rand_score,0.8116869217022872,0.8806172934219427,0.986632826444154,0.9994992468652804,0.9989984975113442
28,v_measure_score,0.981430115099141,0.9378402873382556,0.981571043614014,0.9992173263802657,0.993164842274284
28,homogeneity_score,0.9795277512372568,0.9835734601018393,0.981551881088067,0.9978227031587588,0.9908961583042997
28,fowlkes_mallows_score,0.9565758470561813,0.7618383871229764,0.9892962579235766,0.9984010613919381,0.9928322824521747
37,adjusted_mutual_info_score,0.9800834033801014,0.9050850536955626,0.9814784089439824,0.9992133925175075,0.9786195324493365
37,adjusted_rand_score,0.9563737347939998,0.9035100089214346,0.986632826444154,0.9994992468652804,0.9960030920179588
37,v_measure_score,0.9816608398306288,0.9803035858452898,0.981571043614014,0.9992173263802657,0.9925626318055008
37,homogeneity_score,0.9856213032304344,0.9753056259279547,0.981551881088067,0.9992170169272653,0.9935313356410074
37,fowlkes_mallows_score,0.858163195296281,0.9161729623522958,0.9892962579235766,0.9975971909106714,0.9928344925411057
46,adjusted_mutual_info_score,0.9369257638777688,0.8864158326726622,0.9814784089439824,0.9942914433841992,0.9978139366516441
46,adjusted_rand_score,0.8307406454265556,0.7474943005648962,0.986632826444154,0.9974987783654591,0.9925266863984564
46,v_measure_score,0.9047868181327543,0.938895254103055,0.981571043614014,0.9992173263802657,0.9934889850425416
46,homogeneity_score,0.9819759113199794,0.9820739159364166,0.981551881088067,0.9978227031587588,0.9984340338545306
