p_out,Metric,bayesian,spectral,leiden,louvain,walktrap
0.0,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,1.0
0.0,adjusted_rand_score,0.8732042424977399,1.0,1.0,1.0,1.0
0.0,v_measure_score,1.0,1.0,1.0,1.0,1.0
0.0,homogeneity_score,0.9999999999999998,1.0,1.0,1.0,1.0
0.0,fowlkes_mallows_score,1.0,1.0,1.0,1.0,1.0
0.004147024820051014,adjusted_mutual_info_score,0.6814713131594722,1.0,1.0,1.0,1.0
0.004147024820051014,adjusted_rand_score,0.19853528833291992,1.0,1.0,1.0,1.0
0.004147024820051014,v_measure_score,0.6643108562953044,1.0,1.0,1.0,1.0
0.004147024820051014,homogeneity_score,1.0,1.0,1.0,1.0,1.0
0.004147024820051014,fowlkes_mallows_score,1.0,1.0,1.0,1.0,1.0
0.008294049640102028,adjusted_mutual_info_score,1.0,1.0,1.0,0.9921354863287031,0.9764062930114276
0.008294049640102028,adjusted_rand_score,1.0,1.0,1.0,1.0,0.9849965711019182
0.008294049640102028,v_measure_score,0.6520669206051752,1.0,1.0,1.0,0.9765242874454122
0.008294049640102028,homogeneity_score,0.9999999999999999,1.0,1.0,0.9960850846363262,0.9765136917893089
0.008294049640102028,fowlkes_mallows_score,0.2249571250831464,1.0,1.0,1.0,0.9879853478602869
0.012441074460153042,adjusted_mutual_info_score,0.9271614468759168,0.9764126692686221,0.9960669625875375,0.9960669625875375,0.9759371326204949
0.012441074460153042,adjusted_rand_score,0.9974962343264018,0.9850214447634114,0.9974962343264018,0.9875501507537688,0.9825754890641625
0.012441074460153042,v_measure_score,0.9921748171488795,0.9765306310522454,0.9960866319013287,0.9960866319013287,0.9760574765026688
0.012441074460153042,homogeneity_score,0.994569825936735,0.976526087935584,0.9960850846363261,0.9960850846363261,0.9760225340493939
0.012441074460153042,fowlkes_mallows_score,0.9979949849624249,0.9880052060639362,0.9979949849624249,0.9979949849624249,0.9860468453919823
0.016588099280204056,adjusted_mutual_info_score,0.7119114039541579,0.9089972806396296,0.9584908817283426,0.9387499932917533,0.8633546357187171
0.016588099280204056,adjusted_rand_score,0.9615993838925765,0.9359654855631991,0.9701876659578474,0.9725789432202355,0.8927783373401819
0.016588099280204056,v_measure_score,0.9626024676841941,0.909452398541563,0.9586984745565881,0.9424527794962493,0.8640381269146303
0.016588099280204056,homogeneity_score,0.9595605953908206,0.9094340750113712,0.9586867529200025,0.9625830732932315,0.8638898940235941
0.016588099280204056,fowlkes_mallows_score,0.8503499882083422,0.9487219448117609,0.9800561793660068,0.9741471591828792,0.9141489653841363
0.02073512410025507,adjusted_mutual_info_score,0.8776404255989546,0.8525658019639261,0.9030194534306732,0.853000110812722,0.6826421977276615
0.02073512410025507,adjusted_rand_score,0.9240439054283452,0.8864318408726013,0.9286043158797836,0.9358530231469618,0.6799791060711283
0.02073512410025507,v_measure_score,0.904588879844826,0.8533032112836392,0.9070379544118213,0.8564834088438498,0.6842409516936739
0.02073512410025507,homogeneity_score,0.8664118585708925,0.8532090602840865,0.8789966113034228,0.8760413237434053,0.6794551236779982
0.02073512410025507,fowlkes_mallows_score,0.942855857127307,0.9090626535754884,0.9505758464007507,0.9486151318164847,0.7453959280965484
0.024882148920306085,adjusted_mutual_info_score,0.0,0.6020929247108063,0.2263713347770809,0.29722358964903894,0.43242597190696863
0.024882148920306085,adjusted_rand_score,0.0,0.642752152617223,0.801602329315363,0.27382990790373946,0.34011938545406356
0.024882148920306085,v_measure_score,0.380795319554603,0.6040850291973902,0.6973455862385203,0.19024154673676405,0.43537646149873954
0.024882148920306085,homogeneity_score,0.3716479874388017,0.6034581729629609,0.7369779482352804,0.17715046042596597,0.4193678865044144
0.024882148920306085,fowlkes_mallows_score,0.4463173749689779,0.7141588171830165,0.7993762313070529,0.28510746697020506,0.49186736068538106
0.0290291737403571,adjusted_mutual_info_score,0.0,0.45833235950796425,0.07291308762671239,0.06357206544263569,0.21080161973003433
0.0290291737403571,adjusted_rand_score,0.0,0.4797019219592841,0.07638075261206463,0.03358062172690014,0.19343941937889575
0.0290291737403571,v_measure_score,0.0,0.46104292811335246,0.07952154652821233,0.12549267152421203,0.21481477557119008
0.0290291737403571,homogeneity_score,0.0,0.46077110781603947,0.11164675560046673,0.05572800138130822,0.21141442275751873
0.0290291737403571,fowlkes_mallows_score,0.4463173749689779,0.5835429518886517,0.2409357076951303,0.19445536811924186,0.3624969189383638
0.03317619856040811,adjusted_mutual_info_score,0.0,0.19239489797592704,0.05097715016371448,0.037655073373316895,0.09501107040116472
0.03317619856040811,adjusted_rand_score,0.0,0.17818141738786158,0.06434207925324215,0.019861495858379964,0.06499642678598584
0.03317619856040811,v_measure_score,0.0,0.19644531040488877,0.04153571420021098,0.0478045633415731,0.09973716901559995
0.03317619856040811,homogeneity_score,0.0,0.19590773063422773,0.05312839867569113,0.06146866782408169,0.09580240407133302
0.03317619856040811,fowlkes_mallows_score,0.4463173749689779,0.3433559498175285,0.21167937951216384,0.17136171253814877,0.2715403549625523
0.037323223380459125,adjusted_mutual_info_score,0.0,0.06207255879879075,0.04791978102737911,0.05117801175721515,0.03608144261174175
0.037323223380459125,adjusted_rand_score,0.0,0.04796258777683017,0.01695039834628045,0.01921911073511933,0.025491322375465086
0.037323223380459125,v_measure_score,0.0,0.06676683912878839,0.023390839865780957,0.03938314095968613,0.041072816078837976
0.037323223380459125,homogeneity_score,0.0,0.06671678239380104,0.038878138803381555,0.06337668478164749,0.039753494816029154
