K,Metric,bayesian,spectral,leiden,louvain
3,adjusted_mutual_info_score,0.7275697744476712,1.0,0.1463469531438676,0.1467357605317841
3,adjusted_rand_score,0.5711835334476844,1.0,0.07360977482451858,0.0646398915837352
3,v_measure_score,0.73401855617021,1.0,0.34943526361263266,0.34933613254812734
3,homogeneity_score,0.5798019866307758,1.0,1.0000000000000007,1.0000000000000007
4,adjusted_mutual_info_score,0.5758440058424192,1.0,0.1391416614865548,0.139779891003724
4,adjusted_rand_score,0.32963168461370934,1.0,0.06186672075612813,0.06293576451227852
4,v_measure_score,0.5132379028046625,1.0,0.4056052871768497,0.4055064386286919
4,homogeneity_score,0.4056390622295664,1.0,1.0,1.0
5,adjusted_mutual_info_score,0.4723284454204041,1.0,0.13377724591100112,0.12838596458895105
5,adjusted_rand_score,0.2091917591125198,1.0,0.06705650362843878,0.052573606620845724
5,v_measure_score,0.4669282348758955,1.0,0.4438696361076437,0.44388548414875684
5,homogeneity_score,0.31091750708257165,1.0,0.9999999999999998,0.9999999999999998
6,adjusted_mutual_info_score,0.349503152116875,1.0,0.12190313833468244,0.12188312021688492
6,adjusted_rand_score,0.14280046313813358,1.0,0.057618625997188117,0.06894689164902487
6,v_measure_score,0.0,1.0,0.47827790819133864,0.47596664370846287
6,homogeneity_score,0.252659346662125,1.0,0.9999999999999998,0.9999999999999998
7,adjusted_mutual_info_score,0.3461808234254581,1.0,0.1166408358823214,0.11660027800470979
7,adjusted_rand_score,0.10231243960542942,1.0,0.060753773507814406,0.08096297871092414
7,v_measure_score,0.34291346470889716,1.0,0.5028534769063467,0.5006084047222424
7,homogeneity_score,0.21181029461613013,1.0,1.0000000000000004,1.0000000000000004
8,adjusted_mutual_info_score,0.29312557115417315,1.0,0.1041458415349159,0.10412621306392753
8,adjusted_rand_score,0.07657302672940829,1.0,0.052935329347305535,0.053587300097043745
8,v_measure_score,0.3068488376544056,1.0,0.5179786655254234,0.5183509109016405
8,homogeneity_score,0.18212454201760528,1.0,0.9855538218808646,0.9863346946402992
9,adjusted_mutual_info_score,0.270524466641698,0.5818233975967264,0.08601582620829525,0.08534581509376933
9,adjusted_rand_score,0.05930414861495319,0.7187815665852678,0.059610497829763874,0.05861397740786884
9,v_measure_score,0.0,0.651027973328092,0.5070532892463429,0.5061926928609245
9,homogeneity_score,0.15960265950475902,0.5802782590239826,0.9066615320922677,0.9023649930008869
10,adjusted_mutual_info_score,0.23478704273461726,0.12745174695525835,0.06949128253764315,0.06949128253764315
10,adjusted_rand_score,0.0458835098181984,0.24895241217159989,0.1384146121109751,0.1384146121109751
10,v_measure_score,0.2267254081954338,0.26821477568387664,0.44216179547424644,0.44216179547424644
10,homogeneity_score,0.12604067425974297,0.22407520810712073,0.6998364561805049,0.6998364561805049
11,adjusted_mutual_info_score,0.20230449749362844,0.021168838340342125,0.08952980389036107,0.08950749299674081
11,adjusted_rand_score,0.033761926206534926,0.021028848090737903,0.09039135439283848,0.09193432009249532
11,v_measure_score,0.22628713590876912,0.09613937905239459,0.30607627041383556,0.3009903381205719
11,homogeneity_score,0.1304445020117755,0.07836131709334171,0.3577702977376631,0.3533874715966111
12,adjusted_mutual_info_score,0.20116622281605231,0.03602677883303023,0.12087429531359474,0.11628974515528347
12,adjusted_rand_score,0.025886929603190174,0.014529543836706944,0.06236794934213924,0.0645133728910926
12,v_measure_score,0.2080080523800667,0.10148963394750037,0.20820431436036121,0.20409880363960295
12,homogeneity_score,0.11607644367840846,0.0857150818974104,0.19069997096408356,0.1910652111816775
13,adjusted_mutual_info_score,0.11937416011676148,0.022351041144773258,0.12198255015042357,0.11531915415223207
13,adjusted_rand_score,0.026971449411640074,0.015394486654907556,0.0584225155949197,0.058774818935584935
13,v_measure_score,0.19294402644987965,0.09043694699440943,0.164390714912939,0.15882722982765
13,homogeneity_score,0.10677257886529336,0.07795697973658887,0.13700089248426284,0.13597539652085303
14,adjusted_mutual_info_score,0.11887058106403735,0.031934407741668364,0.10721189044610477,0.10448347126798603
14,adjusted_rand_score,0.03507058770584986,0.024771784488475068,0.050846229388224896,0.050450629688375714
14,v_measure_score,0.1554025221669922,0.10235491517000714,0.1414241967467671,0.13812906675899658
14,homogeneity_score,0.20180030334867408,0.09119857240342995,0.12368343064752367,0.11435274693861418
15,adjusted_mutual_info_score,0.1198183355836364,0.04480419729551355,0.09880639542854723,0.11528974879105637
15,adjusted_rand_score,0.034626227302642455,0.030029730131183725,0.048386148153149,0.049539639769520714
15,v_measure_score,0.13782878445637667,0.1277732953476855,0.15200961804903818,0.13937666533449222
15,homogeneity_score,0.11689367941529218,0.11726046395657075,0.12227186724861977,0.12066176986749942
16,adjusted_mutual_info_score,0.11434720673586792,0.057762982667070466,0.10521060468839345,0.10311936688487192
16,adjusted_rand_score,0.05402259664809087,0.041563254233435674,0.05068142886524576,0.047096416290987514
16,v_measure_score,0.15016565216330605,0.14685748786249253,0.13973677213447855,0.1461420095311659
16,homogeneity_score,0.14693728329570618,0.13841116638080275,0.1210395954533239,0.12495339828740422
17,adjusted_mutual_info_score,0.10484950266327843,0.03266385342706957,0.08492032340024305,0.08652049479532768
17,adjusted_rand_score,0.02882085718400078,0.03391931439165069,0.03940660205081899,0.03181590557111965
17,v_measure_score,0.15724580109611097,0.13575718950122603,0.13084148323900827,0.1284879384577979
17,homogeneity_score,0.14917367017995944,0.12938603319933728,0.11039065202958397,0.1035207997561378
18,adjusted_mutual_info_score,0.08367078857685703,0.06352948462736871,0.07732539903102337,0.08387573192829315
18,adjusted_rand_score,0.04415372347708907,0.05103182349424305,0.03827558642759833,0.03422791247871117
18,v_measure_score,0.1700033190318078,0.17008228025375138,0.14262547947356058,0.1334010648505937
18,homogeneity_score,0.1773421508692111,0.16472461766278787,0.11883577781717587,0.11380570260669806
19,adjusted_mutual_info_score,0.0747726580854851,0.05473178889364795,0.07884388414316162,0.06953337058552508
19,adjusted_rand_score,0.03709723191026265,0.0452579476159782,0.0345190870662045,0.029804027036678466
19,v_measure_score,0.15470187452008077,0.17458214456268567,0.1332459150853382,0.13613977196046265
19,homogeneity_score,0.16996708828920556,0.16905244637164857,0.11388936789571862,0.11562858377758606
20,adjusted_mutual_info_score,0.07608763245763595,0.043129713521825395,0.0666261808702596,0.06528478221825312
20,adjusted_rand_score,0.04367625958061044,0.03625422017438657,0.027770946302749698,0.0350439114385167
20,v_measure_score,0.18044520701117897,0.17775716452924648,0.13250756387046833,0.13846355347077027
20,homogeneity_score,0.17644349844762283,0.17285392364236554,0.11112930713124214,0.1287301640936155
