p_out,Metric,bayesian,bayesian_fixed_K,spectral,leiden,louvain
0.1,adjusted_mutual_info_score,0.7337097087878178,0.7337097087878178,1.0,0.13492101055780986,0.13839560909608672
0.1,adjusted_rand_score,0.5716725949351892,0.5716725949351892,1.0,0.05676241082347623,0.056902896955273466
0.1,v_measure_score,0.7340172861308478,0.7340172861308478,1.0,0.3219794866229978,0.3259846657655148
0.1,homogeneity_score,0.5798004017665548,0.5729717444234792,1.0,1.0,1.0
0.1,fowlkes_mallows_score,0.774441486094731,0.774441486094731,1.0,0.20452728563418016,0.21934959883947838
0.2,adjusted_mutual_info_score,0.5887743958899951,0.7337097087878178,1.0,0.13492384989578834,0.13659102765184886
0.2,adjusted_rand_score,0.5716725949351892,0.5716725949351892,1.0,0.06373555248787215,0.049317919238038646
0.2,v_measure_score,0.7340172861308478,0.6562655541071448,1.0,0.32450189451780503,0.3238640263272176
0.2,homogeneity_score,0.5798004017665548,0.5798004017665548,1.0,1.0,1.0
0.2,fowlkes_mallows_score,0.774441486094731,0.774441486094731,1.0,0.19765912387109777,0.2057886347411867
0.3,adjusted_mutual_info_score,0.5900404124448607,0.7337097087878178,1.0,0.13478043980715843,0.13271198043504878
0.3,adjusted_rand_score,0.4875923624662572,0.5716725949351892,1.0,0.05900898469834338,0.051573007192692456
0.3,v_measure_score,0.7340172861308478,0.7340172861308478,1.0,0.320699850570367,0.32813965445924076
0.3,homogeneity_score,0.5798004017665548,0.5798004017665548,1.0,1.0,1.0000000000000002
0.3,fowlkes_mallows_score,0.774441486094731,0.7259006995280388,1.0,0.2075648412512203,0.2027244667865297
0.4,adjusted_mutual_info_score,0.7337097087878178,0.7337097087878178,1.0,0.13609494934956126,0.1351462974627799
0.4,adjusted_rand_score,0.5716725949351892,0.5716725949351892,1.0,0.06140094443082132,0.0552866999854325
0.4,v_measure_score,0.7340172861308478,0.7340172861308478,1.0,0.3233938398719031,0.32355201854374477
0.4,homogeneity_score,0.5798004017665548,0.5798004017665548,1.0,1.0,1.0000000000000002
0.4,fowlkes_mallows_score,0.774441486094731,0.774441486094731,1.0,0.19700343509596974,0.19264803546929668
0.5,adjusted_mutual_info_score,0.7337097087878178,0.7099897886027257,1.0,0.13614446701966174,0.13385084431054844
0.5,adjusted_rand_score,0.5716725949351892,0.42670647550056573,1.0,0.056223787619944565,0.06441206964322918
0.5,v_measure_score,0.7340172861308478,0.7340172861308478,1.0,0.32550452741845487,0.3235084929002443
0.5,homogeneity_score,0.5729717444234793,0.5798004017665548,1.0,1.0000000000000002,1.0000000000000002
0.5,fowlkes_mallows_score,0.6257716028592778,0.774441486094731,1.0,0.21952785941245026,0.21032980626853642
0.6,adjusted_mutual_info_score,0.7337097087878178,0.5117065968040442,1.0,0.13398266700457848,0.1350583155791578
0.6,adjusted_rand_score,0.5643921850748733,0.5716725949351892,1.0,0.05549758364600673,0.05519296665400533
0.6,v_measure_score,0.7340172861308478,0.7340172861308478,1.0,0.32384565258772224,0.32545825524224437
0.6,homogeneity_score,0.5798004017665548,0.5798004017665548,1.0,1.0,1.0
0.6,fowlkes_mallows_score,0.774441486094731,0.774441486094731,1.0,0.21294587845167223,0.20974243175681556
0.7,adjusted_mutual_info_score,0.7337097087878178,0.7337097087878178,1.0,0.13508393623337406,0.13622721256672948
0.7,adjusted_rand_score,0.5716725949351892,0.5586433831556579,1.0,0.05187036069910698,0.05712921460490678
0.7,v_measure_score,0.6643169499322578,0.7340172861308478,1.0,0.3256115415611771,0.32281217966562
0.7,homogeneity_score,0.5798004017665548,0.5798004017665548,1.0,1.0,1.0
0.7,fowlkes_mallows_score,0.6259877817996355,0.6521177188278267,1.0,0.20555455119067192,0.19704925162477152
0.8,adjusted_mutual_info_score,0.7337097087878178,0.7337097087878178,1.0,0.13630620620009687,0.1352429098777691
0.8,adjusted_rand_score,0.5716725949351892,0.5716725949351892,1.0,0.0528716420805245,0.04791501698879509
0.8,v_measure_score,0.7340172861308478,0.7340172861308478,1.0,0.32590927046749574,0.324209186405768
0.8,homogeneity_score,0.5798004017665548,0.5798004017665548,1.0,1.0,1.0
0.8,fowlkes_mallows_score,0.774441486094731,0.7394232328901219,1.0,0.19221019845901566,0.20101028479535904
0.9,adjusted_mutual_info_score,0.7337097087878178,0.7337097087878178,1.0,0.13636750869158995,0.13649999435374574
0.9,adjusted_rand_score,0.5716725949351892,0.5716725949351892,1.0,0.048691047309498386,0.0541225276769604
0.9,v_measure_score,0.7340172861308478,0.7340172861308478,1.0,0.32564247895619153,0.3224430526657358
0.9,homogeneity_score,0.5798004017665548,0.5798004017665548,1.0,1.0,1.0
0.9,fowlkes_mallows_score,0.774441486094731,0.774441486094731,1.0,0.19819122261756825,0.20262053977633038
