K,Metric,bayesian,spectral,leiden,louvain
3,adjusted_mutual_info_score,0.7275697744476712,1.0,0.15089724316985823,0.14897980620814705
3,adjusted_rand_score,0.5711835334476844,1.0,0.049000318788428456,0.06894310023298962
3,v_measure_score,0.5546958050836563,1.0,0.3519121471079696,0.35001124036821574
3,homogeneity_score,0.5798019866307755,1.0,1.0000000000000004,1.0000000000000004
4,adjusted_mutual_info_score,0.5758440058424192,1.0,0.14157872442982766,0.13688742255915076
4,adjusted_rand_score,0.3319946452476573,1.0,0.07289134928683154,0.07432121844941354
4,v_measure_score,0.5703454790066164,1.0,0.40594103446341273,0.40356973410527724
4,homogeneity_score,0.4056390622295664,1.0,1.0,1.0
5,adjusted_mutual_info_score,0.4723284454204041,1.0,0.1307865134824534,0.12797189487220584
5,adjusted_rand_score,0.2053506782664862,1.0,0.06804090786011345,0.05350685294731598
5,v_measure_score,0.4669282348758955,1.0,0.44386154742217104,0.4437349140477983
5,homogeneity_score,0.31091750708257165,1.0,0.9999999999999998,0.9999999999999998
6,adjusted_mutual_info_score,0.4006860250634278,1.0,0.12190925964337146,0.12216788503049136
6,adjusted_rand_score,0.13799480049944846,1.0,0.054828195332142886,0.05412958805521546
6,v_measure_score,0.40339673724603387,1.0,0.47602958587410604,0.475857359083269
6,homogeneity_score,0.2526593466621248,1.0,0.9999999999999998,0.9999999999999998
7,adjusted_mutual_info_score,0.3461808234254581,1.0,0.11475531480291848,0.11103040586346248
7,adjusted_rand_score,0.10231243960542942,1.0,0.058521795130764824,0.04899479874612334
7,v_measure_score,0.34291346470889716,1.0,0.49900422171612757,0.49929725025115423
7,homogeneity_score,0.21181029461613013,1.0,0.9960910279729378,0.9959734037552629
8,adjusted_mutual_info_score,0.3040585314174562,1.0,0.109036837534621,0.10866292674615961
8,adjusted_rand_score,0.07421714452600409,1.0,0.056015234909652,0.055019867336236476
8,v_measure_score,0.30813088730356947,1.0,0.5201371024516208,0.5201450672907219
8,homogeneity_score,0.18212454201760525,1.0,0.9947998506549585,0.9954436186448269
9,adjusted_mutual_info_score,0.26690795081378477,0.8055566927710645,0.09697676237084397,0.09362510858908123
9,adjusted_rand_score,0.05922273155576494,0.9167221351964087,0.09348075554009998,0.0628870541275487
9,v_measure_score,0.26313086604526836,0.8298653114590362,0.5190008930141141,0.5149454389169046
9,homogeneity_score,0.14348203609350527,0.8066198114234661,0.9221089168074343,0.9243000171591195
10,adjusted_mutual_info_score,0.21489898494650694,0.09967969992527446,0.09811853307448466,0.09997416879551532
10,adjusted_rand_score,0.04663663884072119,0.18734495846776797,0.14405115931067725,0.14571561885171372
10,v_measure_score,0.2410130251552183,0.20661352815199477,0.42262368868957506,0.4241241339965754
10,homogeneity_score,0.14118174150460763,0.18114239183414965,0.6324003898326714,0.6344794137506715
11,adjusted_mutual_info_score,0.21547633714266276,0.01582469874900441,0.1059402645077228,0.10922763027193641
11,adjusted_rand_score,0.03857529619280807,0.007940936433024766,0.09631750895582628,0.09455894357012876
11,v_measure_score,0.22044987924586715,0.10157259332488659,0.3226780616947541,0.3211994685580158
11,homogeneity_score,0.12171349324203577,0.07274819299332672,0.368879643823566,0.3637331723276604
12,adjusted_mutual_info_score,0.20116622281605231,0.019170802909104556,0.11297462950993611,0.11117163063828753
12,adjusted_rand_score,0.030350801114827332,0.008732006410796663,0.060648776400292995,0.07185312392970185
12,v_measure_score,0.2080080523800667,0.08939456668239915,0.20260112653484452,0.20760538920124877
12,homogeneity_score,0.165180924525067,0.069522374103293,0.1987876223187206,0.1863702789154484
13,adjusted_mutual_info_score,0.18502449226524775,0.03398069983385065,0.1213695460155875,0.11050402466767399
13,adjusted_rand_score,0.026971449411640074,0.017088119631086238,0.06607652613156612,0.06515472448950405
13,v_measure_score,0.17787284749588747,0.10059914649957269,0.1680217544906757,0.1624336585181367
13,homogeneity_score,0.11608631556492596,0.08574755917908225,0.14110411654725738,0.13362183205663875
14,adjusted_mutual_info_score,0.17028672882532028,0.0416074832829618,0.1131849008669545,0.10588105507981052
14,adjusted_rand_score,0.02807993346495854,0.04025175504879225,0.04800949449304099,0.04903568427477848
14,v_measure_score,0.17860828417384633,0.11199748116708233,0.1495491056531586,0.15190995000986648
14,homogeneity_score,0.12475899327134743,0.10414426657379885,0.11893200632312448,0.1444014367336592
15,adjusted_mutual_info_score,0.09624312812357658,0.04550494460437329,0.09678083041992834,0.08721957242373936
15,adjusted_rand_score,0.038707313609061024,0.04648414307638881,0.04906966029518151,0.049243798936123205
15,v_measure_score,0.16057681183850628,0.12783834237408923,0.14405552397965887,0.14862832229175196
15,homogeneity_score,0.12586577910390703,0.12254037556076203,0.12682268143752404,0.11861220332827681
16,adjusted_mutual_info_score,0.10994392363500871,0.044849169830899,0.10207627025920603,0.0952843677132111
16,adjusted_rand_score,0.024356659318313902,0.025303362687327392,0.050121841205997684,0.04759111741288361
16,v_measure_score,0.19480408231298807,0.1320582995517094,0.14133785160897427,0.14519924956120292
16,homogeneity_score,0.11066252455781511,0.1178757545173568,0.1247412493023362,0.12178832148266447
17,adjusted_mutual_info_score,0.08650647955006927,0.04615418272625934,0.09042213774260213,0.09151017684720163
17,adjusted_rand_score,0.05322891191054097,0.04257447781316258,0.037516692126810906,0.03776659494903165
17,v_measure_score,0.15317313969830218,0.1469516035345042,0.12905128117912232,0.12960515234790607
17,homogeneity_score,0.124110666758635,0.14184556372000506,0.10614561356011079,0.1254333559810248
18,adjusted_mutual_info_score,0.09388447689482679,0.038775341225486995,0.08194486182117906,0.08674470236416713
18,adjusted_rand_score,0.05515373882163892,0.039055917776651565,0.034705018596350314,0.0403909270881234
18,v_measure_score,0.15378028320527218,0.15313842069239783,0.13979908777318562,0.1310046183785006
18,homogeneity_score,0.1457233222220202,0.14888894760987895,0.1198378038683468,0.10661410828736363
19,adjusted_mutual_info_score,0.07566937951425086,0.04635689496450663,0.07541044033306281,0.07889089049501864
19,adjusted_rand_score,0.045437721484152274,0.04317211711645237,0.03686449086409392,0.03161747831568207
