p_out,Metric,bayesian,bayesian_fixed_K,spectral,leiden,louvain
0.1,adjusted_mutual_info_score,0.6800205769353491,1.0,1.0,1.0,1.0
0.1,adjusted_rand_score,0.9543255383822475,0.22021989414144855,1.0,1.0,1.0
0.1,v_measure_score,1.0,1.0,1.0,1.0,1.0
0.1,homogeneity_score,1.0,1.0,1.0,1.0,1.0
0.1,fowlkes_mallows_score,1.0,0.9171892830296932,1.0,1.0,1.0
0.2,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,1.0
0.2,adjusted_rand_score,1.0,1.0,1.0,1.0,1.0
0.2,v_measure_score,0.8408947672877335,1.0,1.0,1.0,1.0
0.2,homogeneity_score,1.0,1.0,1.0,1.0,1.0
0.2,fowlkes_mallows_score,0.9979949849624249,1.0,1.0,1.0,1.0
0.3,adjusted_mutual_info_score,0.9654852607438383,0.9803378280466714,0.9851413099328546,0.9859990960993067,0.9929995917748249
0.3,adjusted_rand_score,0.9874752275069482,0.8988144150426821,0.9900290135855162,1.0,0.9925139729504762
0.3,v_measure_score,0.9843511467114798,0.8795433707110042,0.9852156194549836,1.0,0.981295817501567
0.3,homogeneity_score,1.0,0.9804348056933445,0.9852079674855475,1.0,0.9860568623149346
0.3,fowlkes_mallows_score,0.9919800609026843,0.9939950655139719,0.992015276311203,1.0,1.0
0.4,adjusted_mutual_info_score,0.9474342845904391,0.951375865124567,0.9270525897162986,0.9820783930545604,0.9714714663026208
0.4,adjusted_rand_score,0.7345488941988257,0.9514971766588008,0.9456640598096949,0.9924888164014241,0.9530659583033877
0.4,v_measure_score,0.929609796922718,0.931777698648373,0.927417439457262,0.9863895444529326,0.9385475763806901
0.4,homogeneity_score,0.9002667616158934,0.8924002001591136,0.9273277688834682,0.9960850846363261,0.9428429377389781
0.4,fowlkes_mallows_score,0.7721358907760562,0.9623931842098811,0.956491208991414,0.9879859545533578,0.9762243828715311
0.5,adjusted_mutual_info_score,0.0,0.0,0.567906975213985,0.181144468706959,0.6045585993421144
0.5,adjusted_rand_score,0.0,0.0,0.5962789867746691,0.7697504455847938,0.535119172402209
0.5,v_measure_score,0.0,0.0,0.570071131344145,0.7425609257545532,0.6886383736724258
0.5,homogeneity_score,0.0,0.0,0.5692510916730494,0.7909782089904849,0.4577763096337682
0.5,fowlkes_mallows_score,0.4463173749689779,0.4463173749689779,0.6770871287594502,0.8333384569363054,0.575601305645626
0.6,adjusted_mutual_info_score,0.0,0.0,0.08180555599699409,0.06740608083214293,0.07458921815025074
0.6,adjusted_rand_score,0.0,0.0,0.06294630295055417,0.04392352821792355,0.1093500637691499
0.6,v_measure_score,0.0,0.0,0.08665345946291401,0.10870432184074642,0.12051880465260867
0.6,homogeneity_score,0.0,0.0,0.08238043287146733,0.15541739771446414,0.11533608608144494
0.6,fowlkes_mallows_score,0.4463173749689779,0.4463173749689779,0.27729548513449287,0.179189675434014,0.21471326765280785
0.7,adjusted_mutual_info_score,0.0,0.0,0.03026906835215217,0.02038401103945099,0.03766845863497157
0.7,adjusted_rand_score,0.0,0.0,0.024047146834826574,0.008437942498129729,0.006636054300974087
0.7,v_measure_score,0.0,0.0,0.03517205138551421,0.041785548249568184,0.03354381182139916
0.7,homogeneity_score,0.0,0.0,0.03480680853714846,0.04501841089614704,0.06747687038777656
0.7,fowlkes_mallows_score,0.4463173749689779,0.4463173749689779,0.2247767019709191,0.15470623980863799,0.1541008650970968
0.8,adjusted_mutual_info_score,0.0,0.0,0.0020242469171354613,0.010731828795544344,0.015244381120919965
0.8,adjusted_rand_score,0.0,0.0,0.00048382175922139756,0.0033338762745252844,0.0032043504556162946
0.8,v_measure_score,0.0,0.0,0.007162830207275018,0.021807725252493734,0.014817430169985442
0.8,homogeneity_score,0.0,0.0,0.006971672398280675,0.026760001807410307,0.023222579191281276
0.8,fowlkes_mallows_score,0.4463173749689779,0.4463173749689779,0.21384403713897182,0.15214078165471576,0.15204504155067683
0.9,adjusted_mutual_info_score,0.0,0.0,-0.0022294469758347866,0.0010751832317336513,0.004467163214673815
0.9,adjusted_rand_score,0.0,0.0,-0.0016836996347953936,5.377927865995058e-05,0.005275597723922968
0.9,v_measure_score,0.0,0.0,0.003197555426282626,0.01538651977400196,0.010987548498443122
0.9,homogeneity_score,0.0,0.0,0.0029747384693713332,0.019905896506680225,0.022285744924709926
0.9,fowlkes_mallows_score,0.4463173749689779,0.4463173749689779,0.23589176122065278,0.15494613733699822,0.13704821705422562
