xi,Metric,bayesian,spectral,leiden,louvain,walktrap
0.1,adjusted_mutual_info_score,0.9963993813995099,1.0,1.0,1.0,0.9882505127093602
0.1,adjusted_rand_score,0.9613838991226992,1.0,1.0,1.0,0.9914485073889753
0.1,v_measure_score,0.9813078341395796,1.0,1.0,1.0,0.9882852392269202
0.1,homogeneity_score,1.0,1.0,1.0,1.0,0.9882836943716796
0.1,fowlkes_mallows_score,0.8670454990892577,1.0,1.0,1.0,0.9925155798293983
0.2,adjusted_mutual_info_score,0.9968127490227465,1.0,1.0,1.0,0.8900364536794534
0.2,adjusted_rand_score,0.8889325632149015,1.0,1.0,0.9997719460099286,0.9118706083386044
0.2,v_measure_score,0.9841475396028275,1.0,1.0,0.9997373475642612,0.8903614746596946
0.2,homogeneity_score,1.0,1.0,1.0,1.0,0.8903196168248537
0.2,fowlkes_mallows_score,0.9698539473881832,1.0,1.0,1.0,0.9228696426633933
0.3,adjusted_mutual_info_score,0.9709266949417193,0.9947806917759632,0.9997903028912855,0.9973532417579423,0.6741611964516329
0.3,adjusted_rand_score,0.8999035976704148,0.9965705787348772,0.9997714861069398,0.9918222931875842,0.6857762489988644
0.3,v_measure_score,0.9324278644964807,0.9947961178332532,0.9998954613333013,0.992508732104946,0.675124856399876
0.3,homogeneity_score,0.9977970905375984,0.9947952803993957,0.999477146617993,0.99736323101194,0.6747029136992365
0.3,fowlkes_mallows_score,0.9523017897575063,0.9969985075263954,0.9998666669341347,0.991303910974505,0.7250911675283304
0.4,adjusted_mutual_info_score,0.9559729350321345,0.9537556852988637,0.9900870073579838,0.939831192986822,0.3497426062430656
0.4,adjusted_rand_score,0.9558787926388328,0.967111799765219,0.9946004267843531,0.9234650862682562,0.31847274652001195
0.4,v_measure_score,0.9474894401561048,0.9538923639951219,0.9939816006738074,0.9328005242555927,0.3517914364400675
0.4,homogeneity_score,0.9838829396148705,0.9538905279391424,0.9946918718638363,0.9421140560627396,0.3386896901567823
0.4,fowlkes_mallows_score,0.9895689300280519,0.9712156616291061,0.9936600180292581,0.9582224480841105,0.4141917180297774
0.5,adjusted_mutual_info_score,0.03185427672610285,0.6755990944178019,0.6939104181884976,0.418361719524934,0.007701521503678577
0.5,adjusted_rand_score,0.011690134044495959,0.7025447566427039,0.6874336324411426,0.35507277535899934,5.250613165398154e-05
0.5,v_measure_score,0.10456604234256331,0.6765580238562235,0.6638115482083681,0.38759428475511054,0.013843025862192182
0.5,homogeneity_score,0.03821697104745089,0.6764627335553984,0.6714979889100651,0.4334632274274891,0.007577731346232328
0.5,fowlkes_mallows_score,0.3536720374836092,0.7396835612398667,0.7264314294526617,0.5122890053727954,0.3422105118604006
0.6,adjusted_mutual_info_score,0.0,0.0795408951000436,0.06058831231803195,0.04773194622336808,0.005638194962314978
0.6,adjusted_rand_score,0.0,0.050815521409906875,0.04891325711452542,0.04237880650246653,3.609165163437185e-05
0.6,v_measure_score,0.0,0.08251548250395667,0.06216171200100996,0.054714999019421215,0.011682707525247547
0.6,homogeneity_score,0.0,0.0761977942282701,0.06949940182498016,0.06680001471565679,0.00644360663036842
0.6,fowlkes_mallows_score,0.3532438184863604,0.2040741014454429,0.16580472295959717,0.14630178053019913,0.3409632351948269
0.7,adjusted_mutual_info_score,0.0,0.006184629300635697,0.01590565877484445,0.014186068582942994,0.004637544315990227
0.7,adjusted_rand_score,0.0,0.00227962917316265,0.00667981900411235,0.0064957000800667745,1.7623661858227147e-05
0.7,v_measure_score,0.0,0.009463682179557235,0.020591335750422955,0.019947582232511325,0.010596124190688542
0.7,homogeneity_score,0.0,0.008540043416497594,0.02293183558922026,0.025026370969997467,0.00588330861816287
0.7,fowlkes_mallows_score,0.3532438184863604,0.17207945497513413,0.10789185444210254,0.09350236398102357,0.33997296662603266
0.8,adjusted_mutual_info_score,0.0,0.0020896199708104785,0.004353557940380341,0.005174010394688202,0.004752333278350082
0.8,adjusted_rand_score,0.0,0.0002922729251255328,0.0021743132025500503,0.0017108337280573266,3.3291260726198833e-05
0.8,v_measure_score,0.0,0.005654459438995523,0.009998730366302378,0.011797924923740958,0.010684913890593072
0.8,homogeneity_score,0.0,0.004769124533148676,0.01091664944136528,0.014306057745970166,0.0059523046505640395
0.8,fowlkes_mallows_score,0.3532438184863604,0.19784972643306367,0.10595290634666629,0.09485157559244624,0.33921119140414585
0.9,adjusted_mutual_info_score,0.0,0.00015628980683252619,0.002378402187805314,0.0023859737402466786,0.002754253195187637
0.9,adjusted_rand_score,0.0,-0.00021142437815801,0.0006461310217296265,0.000885348826772859,5.965709093033322e-05
0.9,v_measure_score,0.0,0.003486699988794174,0.007785122446047386,0.009323998600354062,0.008861080181165328
0.9,homogeneity_score,0.0,0.003133876468893488,0.007910844886823145,0.00989829370500685,0.004866796662925578
0.9,fowlkes_mallows_score,0.3532438184863604,0.1751159789952603,0.09596282728428278,0.08570162734318117,0.34177788131439757
