p_out,Metric,bayesian,spectral,leiden,louvain,walktrap
0.0,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,1.0
0.0,adjusted_rand_score,0.9988573049554532,1.0,1.0,1.0,1.0
0.0,v_measure_score,0.9264851750913966,1.0,1.0,1.0,1.0
0.0,homogeneity_score,1.0,1.0,1.0,1.0,1.0
0.0,fowlkes_mallows_score,1.0,1.0,1.0,1.0,1.0
0.004,adjusted_mutual_info_score,0.46386311346687825,1.0,1.0,1.0,1.0
0.004,adjusted_rand_score,1.0,1.0,1.0,1.0,1.0
0.004,v_measure_score,1.0,1.0,1.0,1.0,1.0
0.004,homogeneity_score,1.0,1.0,1.0,1.0,1.0
0.004,fowlkes_mallows_score,1.0,1.0,1.0,1.0,1.0
0.008,adjusted_mutual_info_score,0.9600037132771149,0.9971632740239937,1.0,1.0,0.9971632740239937
0.008,adjusted_rand_score,1.0,0.9977073799240339,1.0,1.0,0.9977073799240339
0.008,v_measure_score,0.898545788633657,0.9971971732962741,1.0,0.9971971732962741,0.9971971732962741
0.008,homogeneity_score,1.0,0.9971952550739238,1.0,1.0,0.9971952550739238
0.008,fowlkes_mallows_score,0.3788353438012067,0.9979919517102614,1.0,1.0,0.9979919517102614
0.012,adjusted_mutual_info_score,1.0,0.9971632740239937,1.0,0.994326536984418,0.9858201844297204
0.012,adjusted_rand_score,1.0,0.9977073799240339,1.0,1.0,0.9885556310931359
0.012,v_measure_score,0.7183616940138507,0.9971971732962741,1.0,0.9971971732962741,0.9859896366913167
0.012,homogeneity_score,0.9971952550739238,0.9971952550739238,1.0,0.9943905101478477,0.9859801531316303
0.012,fowlkes_mallows_score,1.0,0.9979919517102614,1.0,1.0,0.9899762114414093
0.016,adjusted_mutual_info_score,0.8665819826420139,0.9858181700419449,0.9829853832240497,0.9829853832240497,0.9829834031421579
0.016,adjusted_rand_score,0.95095091128819,0.9885466618585765,0.9862722815445419,0.9862722815445419,0.9862631695682758
0.016,v_measure_score,0.9859857817098966,0.9859876474911805,0.9831887120528761,0.9831887120528761,0.9831867560779667
0.016,homogeneity_score,0.9831678048716518,0.9859724586760035,0.9831792554333674,0.9831792554333674,0.9831754082055542
0.016,fowlkes_mallows_score,0.9586762558792589,0.9899683911962069,0.9879762920816932,0.9879762920816932,0.987968325269808
0.02,adjusted_mutual_info_score,0.9786652174758698,0.9758145124401326,0.9779924525401559,0.9779924525401559,0.941759353786424
0.02,adjusted_rand_score,0.983998471310455,0.9793876873436212,0.9817333300425329,0.981751744024345,0.9502379362618298
0.02,v_measure_score,0.9775888453804025,0.9761035449438007,0.9782554486858186,0.9782554486858186,0.9424553528561884
0.02,homogeneity_score,0.9754470767255623,0.9760643329688568,0.9293949431879425,0.9810373299461448,0.9424354246581302
0.02,fowlkes_mallows_score,0.8826089100900194,0.9819466198936243,0.9840007753079038,0.9859847772275279,0.9564151604825109
0.024,adjusted_mutual_info_score,0.9580313889487392,0.9078128472772502,0.9538597613959845,0.9321936327270273,0.8085640716503893
0.024,adjusted_rand_score,0.9500266605450627,0.9212391592675068,0.9636338961412717,0.9636338961412717,0.7874236616956312
0.024,v_measure_score,0.9198418147085954,0.9089145713552501,0.8851976827855851,0.9649287517103812,0.810859590021249
0.024,homogeneity_score,0.9517791255582719,0.9088585983074792,0.9649026733840912,0.9565233764581755,0.8083775315292125
0.024,fowlkes_mallows_score,0.9680623921736824,0.9310178328432254,0.9740525848314724,0.970148537799311,0.81425319910875
0.028,adjusted_mutual_info_score,0.8640485956305308,0.8890649507821098,0.8696387611101426,0.8837144927572889,0.747040215692595
0.028,adjusted_rand_score,0.8253038761917348,0.9080152067641777,0.9614316481489512,0.9525649262208445,0.7553717073882625
0.028,v_measure_score,0.9453689984347209,0.8903907070708953,0.9509674825680626,0.9518935629811324,0.7500653639432594
0.028,homogeneity_score,0.9398795715647937,0.8903494734408797,0.9565503090112468,0.8468369047499001,0.7495736333998716
0.028,fowlkes_mallows_score,0.9484930242276601,0.9194349652893685,0.9623883105552044,0.9642191854940978,0.7858229904754697
0.032,adjusted_mutual_info_score,0.6797161466417468,0.7780652950371674,0.7559758768755869,0.8872492671247053,0.6403517084588012
0.032,adjusted_rand_score,0.14901497930287577,0.8022876965276747,0.9037596069549833,0.908161884443214,0.5890561440060416
0.032,v_measure_score,0.7597197502473308,0.7807178977992162,0.8022361005661102,0.8723616596388905,0.6446978535177367
0.032,homogeneity_score,0.7862303899006521,0.780599326278489,0.910493617795426,0.7347428686523159,0.6382919276850159
0.032,fowlkes_mallows_score,0.4770829806492124,0.8268443555682984,0.9138157815158151,0.9196132714038548,0.6429974353431427
