K,Metric,bayesian,spectral,leiden,louvain
3,adjusted_mutual_info_score,0.6459618266184262,1.0,0.19744053880856893,0.19484703675445875
3,adjusted_rand_score,0.5340191613665607,1.0,0.11245459411441505,0.1188372541710161
3,v_measure_score,0.6844053973840192,1.0,0.445763896078082,0.44424345738085275
5,adjusted_mutual_info_score,0.3734037792379462,0.07471738881357597,0.23928935267172252,0.24095001518241554
5,adjusted_rand_score,0.1893714843198707,0.05594621220328785,0.22030624985932476,0.2195708592423718
5,v_measure_score,0.42032247138245893,0.14658862634831804,0.3288944594308768,0.33805694709089346
7,adjusted_mutual_info_score,0.26994390322376316,0.10810661578524239,0.21614687896298443,0.22415553811696118
7,adjusted_rand_score,0.11276131211557221,0.10331349738224596,0.1486815312758159,0.15364176630250787
7,v_measure_score,0.3309341992301781,0.21086204469289155,0.2739534933177742,0.280185051887075
9,adjusted_mutual_info_score,0.2096666589231598,0.11115636138458151,0.16743937478675672,0.17286652181028087
9,adjusted_rand_score,0.08602769475001201,0.10465680854509074,0.11365451960362842,0.11049714984256995
9,v_measure_score,0.274585301665894,0.2674572998000164,0.2593497392446995,0.26192888893554434
11,adjusted_mutual_info_score,0.1475555564576613,0.08072883319975419,0.1402493190903101,0.1398833930580815
11,adjusted_rand_score,0.06279011019645277,0.07948117148915629,0.07812161345148565,0.08390115190517866
11,v_measure_score,0.2659580086562249,0.30375058659279514,0.26006851966714983,0.2604076015600084
13,adjusted_mutual_info_score,0.07899285456522238,0.07141804756767448,0.09565966207957456,0.09381677786487917
13,adjusted_rand_score,0.04793406239652583,0.06430717370173629,0.05447871126109701,0.054318541259058974
13,v_measure_score,0.26928473340071934,0.3580573825103327,0.2500812281607908,0.25293125012581263
15,adjusted_mutual_info_score,0.07450186260213056,0.03079619791051414,0.06512976707862361,0.07375079146315928
15,adjusted_rand_score,0.03672993635011814,0.03372732407360727,0.040386942299621115,0.04027811988950054
15,v_measure_score,0.22451146023083565,0.3836527683824852,0.24674140927687346,0.2531412278728621
17,adjusted_mutual_info_score,0.05628820545550073,0.038510531960198116,0.06334435715536468,0.04932894549973348
17,adjusted_rand_score,0.021140413426762605,0.0319261276559407,0.02954212853363351,0.026614652120533933
17,v_measure_score,0.24951582647807574,0.4373341515260837,0.25114715521365805,0.2623421410197029
19,adjusted_mutual_info_score,0.051001751540003984,0.04041531116275645,0.05403696168610249,0.05975038784486738
19,adjusted_rand_score,0.023535462109716056,0.04030600448096333,0.028945106566556966,0.026354332495045107
19,v_measure_score,0.25445262619846143,0.4784936071289253,0.26785967528661464,0.29058579430916276
21,adjusted_mutual_info_score,0.015912478703162168,0.01481289844497104,0.03413307477728564,0.034806744712674156
21,adjusted_rand_score,0.010661911122151948,0.01632276672624925,0.021179520882061202,0.019909579549817535
21,v_measure_score,0.28557390014823714,0.5031274494680569,0.2842909090725504,0.2908080020893976
23,adjusted_mutual_info_score,0.0257746599545919,0.030896082358179245,0.03849555045352809,0.03746618303226132
23,adjusted_rand_score,0.01537766406247188,0.02617771905953296,0.01856698048441102,0.021503139504398194
23,v_measure_score,0.3363997640769222,0.544640169922692,0.30237866852184864,0.29095409989710147
25,adjusted_mutual_info_score,-0.0015082416469016761,0.02056241728039069,0.026799413158758945,0.02840134251675877
25,adjusted_rand_score,0.0009775253763170042,0.015412836361841839,0.011869772350769477,0.00962082705294694
25,v_measure_score,0.29810477951813424,0.5721255485016913,0.29461864560564305,0.30653155115305686
27,adjusted_mutual_info_score,0.008404704796777877,0.014323407575996646,0.02735317395563801,0.034989239747623156
27,adjusted_rand_score,0.006067427421087639,0.012577432476842634,0.013348342664945712,0.012612990297867352
27,v_measure_score,0.3084157229059036,0.5897290918136793,0.3166233401649052,0.3313656515242446
29,adjusted_mutual_info_score,0.003768245975906249,0.02429606656966064,0.022702200831239625,0.023581374109854024
29,adjusted_rand_score,0.005374028462880756,0.018920386312750354,0.010569791878714334,0.011449946619536838
29,v_measure_score,0.33615563702578305,0.6200704208872578,0.32786131160417253,0.32927010559199366
31,adjusted_mutual_info_score,0.007094597726773749,0.019606637415358695,0.01702019567587245,0.024698915591284044
31,adjusted_rand_score,0.0005641406019579762,0.01709492358222941,0.008681059052833858,0.010988115803037225
31,v_measure_score,0.29629491729284857,0.6401140929555702,0.32864148061686793,0.32740920426953163
33,adjusted_mutual_info_score,-0.0008299484235173097,0.029313878222680438,0.027917695047522128,0.02813282976840577
33,adjusted_rand_score,0.0014257724762478988,0.02452401368757104,0.012277457033491356,0.011995214622294387
33,v_measure_score,0.29331249881101784,0.6647783475855492,0.3635664540831681,0.37120274064114994
35,adjusted_mutual_info_score,0.015421061868243277,0.010132314906394166,0.014750861760065629,0.008475911363900118
35,adjusted_rand_score,0.0019191460175240847,0.006925664209184806,0.004680061119940978,0.004432035650129072
35,v_measure_score,0.34056507850472645,0.6759407723033377,0.34089900170445575,0.35862823362810614
37,adjusted_mutual_info_score,-0.004199349061249187,0.0014871292070341908,0.01654077227141188,0.013519076933698004
37,adjusted_rand_score,8.557613449907801e-05,0.0009508322453999913,0.005457416215407613,0.005041750118243471
37,v_measure_score,0.3038320236282358,0.6931701609771788,0.35662974769315803,0.36290476135022554
39,adjusted_mutual_info_score,0.007473173054262328,0.002925887170820006,0.01938696729472446,0.02269969237117568
39,adjusted_rand_score,0.0002474737568427026,0.002696748614784898,0.0071267425851415074,0.008518873858940911
39,v_measure_score,0.35624997723061247,0.7091424016677529,0.37094660107856486,0.37543318013028654
