,bayesian,bayesian_fixed_K,spectral,leiden,louvain
4,0.548286247253418,0.4860468149185181,0.08542273044586182,0.0029808998107910155,0.002800273895263672
5,0.4476572275161743,0.43580491542816163,0.08295392990112305,0.0028504848480224608,0.0027333974838256838
8,0.3553560733795166,0.32242980003356936,0.10272274017333985,0.0028191804885864258,0.00279088020324707
10,0.3119293212890625,0.2995137214660645,0.10873308181762695,0.002802467346191406,0.002402186393737793
20,0.19506092071533204,0.21647162437438966,0.1727912664413452,0.002621293067932129,0.0026546001434326174
25,0.1769402265548706,0.1714421033859253,0.2210334062576294,0.002592015266418457,0.0025115728378295897
