,bayesian,bayesian_fixed_K,spectral,leiden,louvain,walktrap
800,0.3469184160232544,0.28320910930633547,0.09779970645904541,0.002261185646057129,0.002189159393310547,0.019554877281188966
1600,0.8702032327651977,0.8534215450286865,0.18011646270751952,0.004459595680236817,0.004084873199462891,0.07495124340057373
2400,2.021674871444702,1.6483550786972045,0.4858133792877197,0.006625628471374512,0.006529998779296875,0.16863129138946534
3200,2.4851868629455565,2.707586097717285,0.9955793857574463,0.009052228927612305,0.009035515785217284,0.30506124496459963
4000,3.8981485843658445,3.461554670333862,1.4426336765289307,0.015848422050476076,0.011045479774475097,0.4820758104324341
4800,4.240769791603088,4.622167611122132,4.020113325119018,0.013840413093566895,0.017363667488098145,0.7213652610778809
5600,6.0058434009552,5.1662455081939695,6.255275893211365,0.022780776023864746,0.017592668533325195,0.9872235774993896
6400,7.0912153959274296,9.202466082572936,12.314287352561951,0.019927668571472167,0.02298409938812256,1.3402328491210938
7200,9.164024186134338,16.560895872116088,16.12372076511383,0.022446417808532716,0.03333933353424072,1.7650354385375977
8000,9.552183175086975,18.661479687690736,20.8792982339859,0.024559330940246583,0.029193902015686037,2.2190807104110717
