,bayesian,bayesian_fixed_K,spectral,leiden,louvain
4,0.5271136999130249,0.5468497514724732,0.08445100784301758,0.002930951118469238,0.002840471267700195
5,0.4836353063583374,0.520126485824585,0.08207318782806397,0.002937722206115723,0.002707028388977051
8,0.3600082159042358,0.39299697875976564,0.10000777244567871,0.002809023857116699,0.0026976346969604494
10,0.37641496658325196,0.33334970474243164,0.10714232921600342,0.002754020690917969,0.002630019187927246
20,0.2362067937850952,0.24403007030487062,0.1746647596359253,0.002595186233520508,0.0025753021240234376
25,0.18910839557647705,0.18740875720977784,0.21333401203155516,0.002552509307861328,0.002329111099243164
50,0.15636234283447265,0.17445709705352783,0.46688821315765383,0.0025827884674072266,0.002484130859375
