,bayesian,bayesian_fixed_K,spectral,leiden,louvain,walktrap
4,6.040572261810302,7.28359694480896,4.852016925811768,0.01689801216125488,0.016077661514282228,0.8555196762084961
5,4.713413715362549,5.1649126529693605,4.2883350372314455,0.016107010841369628,0.016322064399719238,0.8085893630981446
8,4.3566282987594604,5.186891579627991,3.5707446098327638,0.0171154260635376,0.015624284744262695,0.7848273038864135
10,4.365916419029236,4.326187252998352,4.3666499853134155,0.015422916412353516,0.015167689323425293,0.7792222976684571
20,3.6340994358062746,3.5065995693206786,3.740677547454834,0.01439824104309082,0.015068316459655761,0.7777174234390258
25,3.1777514219284058,3.0864726066589356,3.676561975479126,0.01797308921813965,0.018115997314453125,0.8272112846374512
50,4.865344524383545,3.5984592914581297,4.281356430053711,0.01426846981048584,0.015398669242858886,0.7740115404129029
